angle,ideal_angle,extracted_angle,error
N1-C1-C2,111.83570328964315,112.3014862662766,0.4657829766334487
C1-C2-C3,111.47457652382523,114.78152109966891,3.306944575843673
C2-C3-C4,112.83904502684932,111.05822049322495,1.7808245336243687
C3-C4-C5,121.13173474098414,121.76985065846327,0.6381159174791264
C3-C4-C12,120.8196677166274,120.072727170146,0.7469405464813974
C5-C4-C12,117.96405201857623,118.05746586841548,0.09341384983925138
C4-C5-C6,120.88027222174058,120.88157926336092,0.0013070416203362356
C5-C6-C7,121.04870973676412,120.95443219730276,0.09427753946135908
C6-C7-C8,121.06733277833082,121.78169664745913,0.7143638691283059
C6-C7-C11,118.11941257505461,118.063385633243,0.05602694181160928
C8-C7-C11,120.77180748124844,120.15386384854735,0.617943632701099
C7-C8-C9,111.83035999699459,113.01523702164414,1.184877024649552
C8-C9-C10,115.41044899060542,110.29261968059183,5.11782931001359
N2-C10-C9,113.42061506833333,111.72164540725606,1.698969661077271
C7-C11-C12,120.81516149089663,121.01716187266375,0.20200038176712098
C4-C12-C11,121.15179477295996,120.99617266274011,0.15562211021985206
