bond,ideal_length,extracted_length,error
N1-C7,1.5106746939275908,1.4906467216531707,0.020027972274420103
N2-C11,1.5123144024414321,1.4957346512530472,0.01657975118838495
C1-C2,1.5394840469967823,1.529921699452248,0.009562347544534333
C2-C3,1.5383992607297856,1.5315052717714484,0.0068939889583372604
C2-C4,1.5519694661464505,1.5412480264952875,0.010721439651163012
C2-C8,1.5516880993402298,1.5410714068644014,0.010616692475828415
C4-C5,1.531503267551437,1.5174067607328865,0.01409650681855057
C5-C6,1.5329653199460858,1.5262910230969935,0.006674296849092265
C6-C7,1.5247711186134776,1.5138125574974424,0.010958561116035215
C8-C9,1.5317192723939246,1.5218070825933276,0.009912189800596938
C9-C10,1.5335451032576397,1.525807374100029,0.007737729157610618
C10-C11,1.5248707170733404,1.5121668303828455,0.012703886690494937
