bond,ideal_length,extracted_length,error
N1-C6,1.5165510543722516,1.4957180550120164,0.020832999360235194
N2-C12,1.5136918830845194,1.4919791579755328,0.021712725108986586
C1-C2,1.5424047404875294,1.531120649414287,0.011284091073242353
C2-C4,1.557608341227388,1.5507523355322514,0.006856005695136558
C2-C3,1.5424939552885408,1.5233677845497096,0.019126170738831272
C2-C7,1.6014175549161402,1.5820644643388364,0.019353090577303833
C4-C5,1.538270837434492,1.5350055175945063,0.003265319839985681
C5-C6,1.525324582217075,1.520000730669455,0.00532385154761994
C7-C9,1.5419568397818846,1.531122509070428,0.010834330711456674
C7-C8,1.5422855822685357,1.5469959803552338,0.004710398086698042
C7-C10,1.5560155156899433,1.5457834859463415,0.010232029743601823
C10-C11,1.5368667931497473,1.5327310766856381,0.0041357164641091515
C11-C12,1.5251295905197095,1.5162936110822316,0.008835979437477937
