bond,ideal_length,extracted_length,error
N1-C1,1.5169861688179969,1.5006338557117613,0.016352313106235528
N2-C10,1.512455964620227,1.4846198697527404,0.027836094867486505
C1-C2,1.5222492017594467,1.512298756337203,0.009950445422243659
C2-C3,1.5317986084337722,1.5276109053843712,0.004187703049401081
C3-C4,1.533405934960724,1.5268383673340236,0.006567567626700521
C4-C5,1.5447424662391775,1.5429648878963174,0.0017775783428601866
C4-C12,1.5337617177020724,1.5274234010207939,0.006338316681278489
C5-C6,1.5464883176255708,1.5451124700227954,0.0013758476027754263
C6-C7,1.535084994854222,1.5292332181556498,0.005851776698572175
C7-C11,1.5452922635370225,1.5409604222823647,0.004331841254657798
C7-C8,1.5353142178074053,1.5221737721235293,0.013140445683875956
C8-C9,1.5341772973401815,1.527436987205822,0.006740310134359495
C9-C10,1.5234222536185889,1.5147566929546958,0.008665560663893013
C11-C12,1.547211288053577,1.5327972815321524,0.01441400652142466
