bond,ideal_length,extracted_length,error
N1-C1,1.5088929572826728,1.4879449642869087,0.02094799299576411
N2-C9,1.5120705059545665,1.4944872322259943,0.017583273728572157
C1-C2,1.522497061494137,1.5135101552279906,0.00898690626614651
C2-C3,1.530093842447204,1.5255004157323209,0.004593426714883053
C3-C4,1.5286846784457861,1.5232188405630578,0.005465837882728364
C4-C5,1.5280281802152806,1.5198607881924044,0.008167392022876196
C5-C6,1.5281489608616001,1.523493885219575,0.004655075642025164
C6-C7,1.5292993702130493,1.5214082074884623,0.007891162724587009
C7-C8,1.5317164112730393,1.5279185904677706,0.0037978208052686924
C8-C9,1.5234979797278478,1.5177511269048714,0.005746852822976489
