bond,ideal_length,extracted_length,error
N1-C7,1.5116759619512523,1.4892588334216919,0.02241712852956046
N2-C14,1.5128479177403946,1.489526985945205,0.02332093179518968
C1-C2,1.5423388240126792,1.5379113037502172,0.004427520262461959
C2-C8,1.601671282209294,1.5815324205508974,0.020138861658396623
C2-C3,1.5427027351641258,1.5346411546270005,0.008061580537125357
C2-C4,1.5540777445991327,1.5515353095602638,0.002542435038868973
C4-C5,1.53302767492437,1.5213952832340776,0.01163239169029251
C5-C6,1.5340081016232732,1.5198032309239184,0.014204870699354721
C6-C7,1.523574814741085,1.5152078584196833,0.00836695632140172
C8-C11,1.5549019560778248,1.5536779920658172,0.001223964012007528
C8-C10,1.5423280813943856,1.5309017694825546,0.011426311911830966
C8-C9,1.5426815286883693,1.5370026132638746,0.005678915424494724
C11-C12,1.5332182340398035,1.5248094242980879,0.00840880974171565
C12-C13,1.5345422919129796,1.5257162360467278,0.008826055866251847
C13-C14,1.523924350695923,1.5157211376753073,0.008203213020615774
