angle,ideal_angle,extracted_angle,error
C1-C2-C5,110.89237693413615,112.02300985744363,1.1306329233074734
C1-C2-C3,108.53521956556486,111.89383971032902,3.35862014476416
C1-C2-C4,110.2274763587511,106.14025956479463,4.087216793956472
C5-C2-C3,111.48150455344587,110.51398890950465,0.9675156439412262
C5-C2-C4,106.82552806993853,109.2076863327166,2.382158262778077
C3-C2-C4,108.85649001885454,106.80035522269466,2.0561347961598813
N1-C4-C2,114.81476018710873,111.2066145344342,3.608145652674537
C2-C5-C6,111.52197156492784,110.21802000294605,1.3039515619817905
C2-C5-C7,110.9373708576206,112.20299633053061,1.2656254729100027
C2-C5-C8,106.67607813273052,109.26568317927124,2.5896050465407114
C6-C5-C7,108.48302936614584,110.766223892204,2.2831945260581534
C6-C5-C8,108.98214705466133,107.74561701675523,1.2365300379060926
C7-C5-C8,110.22024220551845,106.46616490232618,3.754077303192261
N2-C8-C5,114.91907247439828,111.1339124406073,3.785160033790973
