bond,ideal_length,extracted_length,error
N1-C1,1.5232830222259162,1.4984615650372264,0.024821457188689777
N2-C6,1.5233225405099025,1.494486353017294,0.02883618749260841
C1-C2,1.5234691648675476,1.5179315706081122,0.005537594259435341
C2-C8,1.5518687568790874,1.5293570781477976,0.022511678731289786
C2-C3,1.5458785464974887,1.546667121819545,0.0007885753220562286
C3-C4,1.5304978417096005,1.5250588458683412,0.0054389958412592865
C4-C5,1.5470089217583511,1.5435583363335568,0.0034505854247943724
C5-C7,1.5508184934199922,1.5389652212628766,0.011853272157115624
C5-C6,1.5246546836447055,1.5203288790728071,0.004325804571898351
C7-C8,1.5361236656825634,1.519308020758491,0.016815644924072393
