bond,ideal_length,extracted_length,error
N1-C1,1.512288702956514,1.4925414555630967,0.019747247393417267
N2-C10,1.5176898526570684,1.490448895693704,0.02724095696336426
C1-C2,1.522898643991745,1.5163917051434552,0.006506938848289678
C2-C3,1.5483544492591457,1.5454450046262995,0.0029094446328461476
C3-C4,1.5066442126710602,1.5033728037754048,0.003271408895655359
C4-C5,1.4067538806663356,1.3964196867039056,0.01033419396242996
C4-C12,1.4025640075752956,1.396791895268132,0.005772112307163679
C5-C6,1.3963476709287332,1.3899576843336698,0.006389986595063402
C6-C7,1.4008525268585832,1.3979885344572776,0.0028639924013056373
C7-C8,1.5073124545765217,1.5009614292540236,0.006351025322498094
C7-C11,1.4063991517055001,1.3944985375878816,0.011900614117618558
C8-C9,1.5381533851161735,1.528454097317198,0.009699287798975442
C9-C10,1.5222306149448177,1.5157090371259134,0.006521577818904278
C11-C12,1.3949200207792232,1.3901614051613624,0.004758615617860729
