angle,ideal_angle,extracted_angle,error
N1-C1-C2,112.38652080365866,111.19990723945666,1.1866135642019913
C1-C2-C3,113.51386518394936,112.72457983963047,0.7892853443188983
C2-C3-C4,116.44032193869398,113.71320573579138,2.7271162029026073
C3-C4-C5,113.20637418886368,112.83615674000833,0.37021744885534247
C3-C4-C12,114.78731786687719,114.02878351881601,0.7585343480611755
C5-C4-C12,109.46800609339222,108.76906831585859,0.6989377775336294
C4-C5-C6,111.91389435161254,109.1052680482769,2.808626303335643
C5-C6-C7,110.45477979532627,112.00504609443554,1.5502662991092677
C6-C7-C11,109.36737287222282,110.06092843392852,0.6935555617057076
C6-C7-C8,114.29854711887347,112.18883388753419,2.109713231339285
C11-C7-C8,113.40184049956048,116.63626084109646,3.23442034153598
C7-C8-C9,115.922512944196,117.4672821486112,1.5447692044152035
C8-C9-C10,109.69244817317582,107.431077546677,2.2613706264988167
N2-C10-C9,112.38807673731479,112.3481033018876,0.03997343542718568
C7-C11-C12,112.05732487546796,109.09804694843838,2.959277927029575
C4-C12-C11,110.2581206437796,112.03779198120374,1.7796713374241335
