angle,ideal_angle,extracted_angle,error
C1-C2-C8,110.89509571245993,110.68666636433542,0.2084293481245112
C1-C2-C3,108.00481208895594,108.3399296207194,0.3351175317634585
C1-C2-C4,108.6816471978943,108.51532719039304,0.16632000750126963
C8-C2-C3,110.57615590481984,110.0492868876186,0.5268690172012356
C8-C2-C4,109.70805388654013,110.17144371506046,0.4633898285203344
C3-C2-C4,108.91849213994037,109.02798722870473,0.10949508876436198
C2-C4-C5,116.88374038356832,115.71428412921713,1.1694562543511893
C4-C5-C6,111.5191263059794,112.36848917173035,0.8493628657509475
C5-C6-C7,110.69206255272525,109.94853447775155,0.7435280749736961
N1-C7-C6,112.23894697560121,111.09967608378139,1.1392708918198196
C2-C8-C11,109.67297384442625,109.52261503665214,0.15035880777411137
C2-C8-C10,110.65321385643995,110.75143812500386,0.09822426856391075
C2-C8-C9,110.95641892129551,111.05615311688422,0.09973419558870944
C11-C8-C10,109.22812515748657,109.52667305802058,0.29854790053400393
C11-C8-C9,108.32624454986617,108.19562074672494,0.13062380314123345
C10-C8-C9,107.94425314428058,107.72897771891738,0.21527542536320254
C8-C11-C12,116.8297826074224,116.65991022625926,0.1698723811631453
C11-C12-C13,111.5669555871581,110.42602480206753,1.1409307850905748
C12-C13-C14,110.77995100348448,111.98019077139753,1.2002397679130468
N2-C14-C13,112.35489094510335,110.34029879160775,2.014592153495599
