angle,ideal_angle,extracted_angle,error
C1-C2-C4,109.93983388287657,109.20640077968693,0.7334331031896397
C1-C2-C3,110.02116362858406,109.37958537262175,0.6415782559623153
C1-C2-C7,109.97538033101982,109.51240078122748,0.4629795497923368
C4-C2-C3,110.01745082033902,110.17018893344293,0.15273811310390784
C4-C2-C7,106.77222078128531,108.50970404411379,1.7374832628284764
C3-C2-C7,110.06281598812697,110.04309959804795,0.019716390079025814
C2-C4-C5,115.15524451576519,112.68267256514385,2.4725719506213437
C4-C5-C6,111.67654255727156,114.90873125140722,3.232188694135658
N1-C6-C5,110.92377113836758,107.31839765354202,3.605373484825563
C2-C7-C8,115.45097458233346,112.89841440438109,2.5525601779523726
C7-C8-C9,111.20371248012748,114.66308300887079,3.4593705287433067
N2-C9-C8,111.40084398960703,107.3150813456107,4.085762643996333
