angle,ideal_angle,extracted_angle,error
N1-C1-C2,111.24989832208695,109.55996647457769,1.689931847509257
C1-C2-C3,110.83911519890518,110.83086171812705,0.008253480778122935
C2-C3-C10,120.3210993334023,121.21183325149146,0.890733918089154
C2-C3-C4,121.08333269301505,119.99226861147123,1.09106408154382
C10-C3-C4,118.58496043649374,118.74048375412875,0.1555233176350015
C3-C4-C5,120.82581868003253,120.94549004367761,0.11967136364508235
C4-C5-C6,120.58344765172903,120.30486456772185,0.278583084007181
C5-C6-C9,118.58333353106379,118.76091246481576,0.17757893375197398
C5-C6-C7,120.6283772699735,121.19676357112994,0.568386301156437
C9-C6-C7,120.77581217144838,119.98434885209605,0.7914633193523315
C6-C7-C8,110.92636989053267,110.69360189185241,0.23276799868025932
N2-C8-C7,111.27195610563668,109.62034304685264,1.6516130587840365
C6-C9-C10,120.83056046413674,120.92750633743519,0.09694587329845206
C3-C10-C9,120.58993772964767,120.31813558779956,0.2718021418481129
