bond,ideal_length,extracted_length,error
N1-C1,1.512288702956514,1.4913632054458539,0.020925497510660085
N2-C10,1.5176898526570684,1.4968175447976613,0.02087230785940708
C1-C2,1.522898643991745,1.5149416942321519,0.007956949759593046
C2-C3,1.5483544492591457,1.5362280507480937,0.012126398511052017
C3-C4,1.5066442126710602,1.5037749396786038,0.0028692729924564286
C4-C5,1.4067538806663356,1.394845024000644,0.011908856665691525
C4-C12,1.4025640075752956,1.400738161054798,0.0018258465204976648
C5-C6,1.3963476709287332,1.392912960636705,0.0034347102920282424
C6-C7,1.4008525268585832,1.393935714556763,0.006916812301820174
C7-C8,1.5073124545765217,1.5058402213847577,0.0014722331917640386
C7-C11,1.4063991517055001,1.3991913227220603,0.007207828983439857
C8-C9,1.5381533851161735,1.5287500396668183,0.009403345449355172
C9-C10,1.5222306149448177,1.5108290424899031,0.011401572454914577
C11-C12,1.3949200207792232,1.3882934378001293,0.006626582979093909
