angle,ideal_angle,extracted_angle,error
C1-C2-C5,110.89237693413615,111.14007991959059,0.24770298545443836
C1-C2-C3,108.53521956556486,108.64072967399306,0.10551010842820574
C1-C2-C4,110.2274763587511,107.45412906619438,2.7733472925567213
C5-C2-C3,111.48150455344587,109.998416401666,1.4830881517798673
C5-C2-C4,106.82552806993853,108.74216319405967,1.916635124121143
C3-C2-C4,108.85649001885454,110.8431147739794,1.9866247551248506
N1-C4-C2,114.81476018710873,113.30018473341957,1.5145754536891616
C2-C5-C6,111.52197156492784,111.20318642754346,0.3187851373843813
C2-C5-C7,110.9373708576206,110.92359428709196,0.013776570528648335
C2-C5-C8,106.67607813273052,107.63993956971605,0.9638614369855247
C6-C5-C7,108.48302936614584,108.67436425247003,0.19133488632418505
C6-C5-C8,108.98214705466133,108.14204288561888,0.8401041690424478
C7-C5-C8,110.22024220551845,110.21840121834819,0.0018409871702544933
N2-C8-C5,114.91907247439828,113.19146940418082,1.7276030702174552
