bond,ideal_length,extracted_length,error
N1-C1,1.5232830222259162,1.500358219105615,0.022924803120301096
N2-C6,1.5233225405099025,1.5023405681464095,0.020981972363492973
C1-C2,1.5234691648675476,1.5179144143979706,0.005554750469576986
C2-C8,1.5518687568790874,1.549258236460703,0.0026105204183843878
C2-C3,1.5458785464974887,1.5357042081234575,0.010174338374031144
C3-C4,1.5304978417096005,1.5202330648382922,0.010264776871308223
C4-C5,1.5470089217583511,1.5347736866143173,0.012235235144033796
C5-C7,1.5508184934199922,1.548811515642416,0.002006977777576191
C5-C6,1.5246546836447055,1.5248930259402123,0.0002383422955067882
C7-C8,1.5361236656825634,1.52876108282651,0.007362582856053512
