bond,ideal_length,extracted_length,error
N1-C1,1.5190417553856495,1.5003086606250624,0.018733094760587043
N2-C8,1.5175320858057553,1.498379431436493,0.019152654369262168
C1-C2,1.5215399197945765,1.522211712623575,0.0006717928289985409
C2-C3,1.5363956794307403,1.5317852778958883,0.004610401534852038
C3-C10,1.5334145448017693,1.540403579349167,0.006989034547397743
C3-C4,1.5536939335967945,1.525398987555585,0.028294946041209634
C4-C5,1.5312246305533381,1.53749507446096,0.00627044390762177
C5-C6,1.53651173689418,1.5383006395222374,0.0017889026280573095
C6-C7,1.5394815033106597,1.5272702457955645,0.01221125751509522
C6-C9,1.559254038459639,1.5276087857332423,0.03164525272639662
C7-C8,1.5265093402711403,1.5135945184905697,0.012914821780570573
C9-C10,1.5306798705721492,1.5365297456571134,0.005849875084964262
