angle,ideal_angle,extracted_angle,error
N1-C1-C2,112.38652080365866,111.57562251416728,0.8108982894913765
C1-C2-C3,113.51386518394936,111.60446399539107,1.9094011885582916
C2-C3-C4,116.44032193869398,117.18284648211697,0.7425245434229879
C3-C4-C5,113.20637418886368,113.9349103505531,0.7285361616894193
C3-C4-C12,114.78731786687719,114.31504857491112,0.4722692919660716
C5-C4-C12,109.46800609339222,108.90221534138401,0.5657907520082119
C4-C5-C6,111.91389435161254,111.86284174104568,0.05105261056685606
C5-C6-C7,110.45477979532627,109.86689191723158,0.5878878780946906
C6-C7-C11,109.36737287222282,109.48035336208785,0.11298048986503773
C6-C7-C8,114.29854711887347,115.42741302344504,1.128865904571569
C11-C7-C8,113.40184049956048,113.46681004911096,0.06496954955048295
C7-C8-C9,115.922512944196,117.44302701383995,1.5205140696439514
C8-C9-C10,109.69244817317582,108.06426833142724,1.628179841748576
N2-C10-C9,112.38807673731479,111.29514810129079,1.0929286360239985
C7-C11-C12,112.05732487546796,111.79860430680979,0.2587205686581626
C4-C12-C11,110.2581206437796,109.76308393468159,0.49503670909801656
