angle,ideal_angle,extracted_angle,error
N1-C1-C2,112.63289795432378,110.90151341616192,1.731384538161862
C1-C2-C3,110.43152910344742,113.86700556847894,3.4354764650315275
C2-C3-C4,113.69470418077479,111.68586078168467,2.008843399090125
C3-C4-C5,112.36534048666095,114.73199470403497,2.3666542173740197
C4-C5-C6,114.34609713609096,111.14136782872143,3.204729307369533
C5-C6-C7,112.53254143572046,115.71243382423923,3.179892388518766
C6-C7-C8,114.03009259529136,111.39793365824457,2.632158937046796
C7-C8-C9,112.28740832566552,113.87813624743947,1.5907279217739472
C8-C9-C10,111.42873397645587,110.65864380588607,0.7700901705698016
N2-C10-C9,112.07334197013552,111.53752707129507,0.5358148988404423
