bond,ideal_length,extracted_length,error
N1-C1,1.5124736707362907,1.498126398431723,0.014347272304567671
N2-C10,1.5132586518866264,1.4980334258707992,0.015225226015827209
C1-C2,1.5244891691055928,1.5173570723393452,0.007132096766247598
C2-C3,1.5332220270037182,1.528922348768941,0.004299678234777282
C3-C4,1.53070975758777,1.5227621421938606,0.007947615393909313
C4-C5,1.530465291509776,1.5249193224592879,0.005545969050488209
C5-C6,1.5301516835289326,1.523650072483339,0.006501611045593547
C6-C7,1.5303572533492071,1.5225975800852507,0.007759673263956435
C7-C8,1.529988067039215,1.5269433245914488,0.003044742447766202
C8-C9,1.5335239855933556,1.525548443619497,0.007975541973858524
C9-C10,1.5237523648978193,1.5180055300283644,0.005746834869454931
