angle,ideal_angle,extracted_angle,error
C1-C2-C3,109.86715069433345,109.87208665434588,0.004935960012431906
C1-C2-C4,109.63129313341852,110.67587792872857,1.044584795310044
C1-C2-C8,109.69150829274375,110.6272556824595,0.9357473897157575
C3-C2-C4,110.11778925156646,110.48459543680802,0.3668061852415576
C3-C2-C8,110.20802342764308,110.48872614137204,0.2807027137289566
C4-C2-C8,107.28576620962197,104.59458751780582,2.691178691816148
C2-C4-C5,115.5850557924932,119.2602846131271,3.6752288206339045
C4-C5-C6,113.64525193712292,108.37182916609828,5.2734227710246415
C5-C6-C7,109.4329370119044,113.98326887920778,4.550331867303385
N1-C7-C6,112.92369048292818,108.69098963118279,4.232700851745392
C2-C8-C9,115.80403118989317,119.05930656923103,3.25527537933786
C8-C9-C10,113.40864025666271,108.64286385984906,4.765776396813649
C9-C10-C11,109.68713026761715,113.57508758179834,3.887957314181193
N2-C11-C10,112.92821077920946,108.93152253575987,3.996688243449597
