bond,ideal_length,extracted_length,error
N1-C6,1.5165510543722516,1.492862611919156,0.02368844245309565
N2-C12,1.5136918830845194,1.4889201368271523,0.02477174625736711
C1-C2,1.5424047404875294,1.5377958630841906,0.004608877403338818
C2-C4,1.557608341227388,1.547256296411614,0.010352044815773898
C2-C3,1.5424939552885408,1.535103587315088,0.007390367973452827
C2-C7,1.6014175549161402,1.5837333768017108,0.01768417811442946
C4-C5,1.538270837434492,1.525190121770292,0.013080715664200104
C5-C6,1.525324582217075,1.5165891721208824,0.008735410096192497
C7-C9,1.5419568397818846,1.538426043397629,0.0035307963842556855
C7-C8,1.5422855822685357,1.532349689334845,0.009935892933690793
C7-C10,1.5560155156899433,1.5431733807242625,0.012842134965680874
C10-C11,1.5368667931497473,1.5276383909142148,0.009228402235532451
C11-C12,1.5251295905197095,1.520925507484934,0.004204083034775596
