bond,ideal_length,extracted_length,error
N1-C6,1.5141571009205232,1.4957189518644265,0.018438149056096753
N2-C9,1.5141389936327625,1.4978930649058775,0.016245928726885017
C1-C2,1.538764937639122,1.5362806637103887,0.0024842739287331828
C2-C4,1.5511126478948747,1.5470726184900392,0.004040029404835499
C2-C3,1.5385626536922843,1.5356535338926847,0.0029091197995996243
C2-C7,1.5507663582858682,1.5488334183068144,0.0019329399790537494
C4-C5,1.535276457816007,1.5241669865687568,0.011109471247250147
C5-C6,1.5223775962673598,1.515031150743098,0.00734644552426178
C7-C8,1.5361217317100104,1.523974111635455,0.012147620074555388
C8-C9,1.523036303264964,1.5152776749981165,0.007758628266847589
