angle,ideal_angle,extracted_angle,error
N1-C1-C6,110.6909154899846,109.98098711952392,0.7099283704606876
N1-C1-C2,110.68206400116131,108.7851482228154,1.8969157783459138
C6-C1-C2,112.29464251846471,111.35786019306701,0.9367823253977008
C1-C2-C3,109.87138434113412,110.92988343286136,1.058499091727242
C2-C3-C4,109.83010323499734,110.05847737203509,0.228374137037747
N2-C4-C3,110.69838309348273,109.96622503815975,0.7321580553229836
N2-C4-C5,110.74684727020306,108.78016849342106,1.966678776782004
C3-C4-C5,112.24406435999711,111.35499181717636,0.889072542820756
C4-C5-C6,109.78772020804233,110.94645816900122,1.158737960958888
C1-C6-C5,109.84658146054096,110.0471612442282,0.20057978368724605
