bond,ideal_length,extracted_length,error
N1-C1,1.5088929572826728,1.494822188315122,0.014070768967550773
N2-C9,1.5120705059545665,1.490128988206034,0.02194151774853248
C1-C2,1.522497061494137,1.5145891935696447,0.007907867924492384
C2-C3,1.530093842447204,1.5221950609505475,0.00789878149665646
C3-C4,1.5286846784457861,1.5244216141625324,0.004263064283253737
C4-C5,1.5280281802152806,1.5209573162180257,0.007070863997254984
C5-C6,1.5281489608616001,1.5209104195028025,0.0072385413587976455
C6-C7,1.5292993702130493,1.5202852936866857,0.009014076526363546
C7-C8,1.5317164112730393,1.5252891508242623,0.00642726044877695
C8-C9,1.5234979797278478,1.5116912691161626,0.011806710611685256
